15/12/2016 20:40:54;3;rien;
15/12/2016 20:40:56;3;rien;
15/12/2016 20:40:57;2;5x3;
15/12/2016 20:41:02;2;5x3;
15/12/2016 20:41:05;2;5x3;
15/12/2016 20:41:07;3;rien;
15/12/2016 20:41:08;3;rien;
15/12/2016 20:41:08;3;rien;
15/12/2016 20:41:09;1;EXIASAVER1_PBM/4.pbm;
15/12/2016 20:42:30;2;5x3;
15/12/2016 20:44:29;2;5x3;
15/12/2016 20:47:38;3;rien;
15/12/2016 20:47:41;2;5x3;
15/12/2016 20:53:52;3;rien;
15/12/2016 20:54:30;2;5x3;
15/12/2016 20:55:05;2;5x3;
15/12/2016 20:55:26;1;EXIASAVER1_PBM/4.pbm;
15/12/2016 20:55:34;1;EXIASAVER1_PBM/4.pbm;
15/12/2016 20:55:40;3;rien;
15/12/2016 20:55:42;3;rien;
15/12/2016 20:55:43;2;5x3;
15/12/2016 20:56:14;2;5x3;
15/12/2016 20:56:40;1;EXIASAVER1_PBM/1.pbm;
15/12/2016 20:56:56;3;rien;
15/12/2016 21:15:10;3;rien;
15/12/2016 21:15:12;2;5x3;
